7.9339,2.4963,67.84,1.265,4.0604,4.0431,4.0775,0,4.0431,0,0,2,0,4.3093,0,6.9932,1,0,93.146,0,0,1,0,0,0,0,46.293,46.86,46.487,46.526,-0.0791,0,0,0.69,0,0.89714,0.27782,-0.857,0.74,0,0,-0.4169,0,0,0,6.0462,0.70417,1.5142,0,0,0,0,0,6,8.0791,0,8.0739,4.0032,0,0,1,0,2.2592,6.9756,5.6886,-1
4.6052,3.7136,13.333,1,0,0,0,0,0,0,0,0,0,0,0,6.915,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,1000,0,1,0,0,0,0,3,0,0,0,7,49,0,0,8,9.0455,0,9.0455,4.6128,0,0,0,1,0,0,10.05,-1
6.2952,2.1772,545.95,1,3.9766,3.2834,4.382,0,4.382,0,0,53.333,6.2633,6.315,4.5535,7.0557,1,0,0,0,1,0,0,0,0,0,5.7744,0.179,2.9767,2.9767,0,2.9767,0,5.7744,3.9592,4.2706,4.2706,-28.436,226.44,2.7066,0,0,7.3257,1,20,4.9877,0.5864,0,2.7051,0,0,4.382,0,2.5,7.3122,0,7.5797,4.1098,0,0,1,0,2.1972,3.5383,4.4205,-1
4.6052,3.7136,51.11,5.5678,6.1498,6.3984,4.4252,0,6.9078,0,-200,0,6.8345,4.4252,4.2224,6.9082,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6052,4.6052,4.6052,0,0,1.1144,1,0,0.6639,1,19.985,3,0,0,0,0,0,4.382,0,8,9.1128,0,9.202,4.5186,0,0,0,1,0,0,10.05,-1
4.6153,3.7136,174.05,5.5678,5.738,5.7075,4.6153,0,6.5271,0,0,18.63,5.8429,4.6228,3.919,6.8398,1,0,0,0,1,0,0,0,0,0,0,0,0,0.1093,-0.2255,0,0,0.564,4.4318,4.5508,4.4638,21.912,257.69,0,1,0,0.65564,1,4.5128,3,0,0,0,0,0,5.5215,0,3.2,7.9338,0,8.0388,4.4795,2.3026,0,1,1,0,0,10.05,-1
7.9327,0.70413,0,3.5329,4.7333,4.5816,5.4848,0,0,0,0,32,0,0,0,6.8174,1,0,0,0,1,0,0,0,0,0,10.564,50,23.336,27.603,-10.206,0,39.436,0,0,0,0.67447,-3.8095,12.78,0,1,-1.3399,0,0,5.9685,6.1364,1.6514,1.6592,0,0,0,0,0,2.8,5.3367,0,2.9957,2.1309,4.0943,0,1,0,2.1469,5.1518,1,-1
8.1251,0.42043,0,1.2063,4.2905,4.2859,0,0,4.9767,0,0,0.667,0,0,0,6.8955,1,0,0,3.2077,0,1,0,0,0,0,50,22.923,46.119,46.419,-0.6018,0,0,27.096,0,0,0,0,0,0,1,0,0,0,0,6.3934,1.7585,1.7698,0,-1,1,0,0,3.4,2.9957,1,3.075,0.5,4.8675,2.3026,0,0,2.2174,6.8965,1,1
7.4814,0.96948,87.96,1,3.6019,3.9187,3.6109,0,3.6109,0,-27.333,0,2.9992,2.3026,3.0684,6.9775,1,0,0,0,1,0,0,0,0,0,46.967,47.018,46.682,33.289,0,20,0,24.224,0.10714,0.83482,0.73297,0.458,2.2,0,1,0,0.6321,1,0,5.3279,0.515,1.1607,0,0,0,2.9957,0,4,7.6948,0,7.7076,4.024,0,0,1,0,2.2764,5.9852,4.7065,-1
5.9252,3.7136,0,1,5.2113,5.0106,5.0106,0,4.6052,0,0,66.667,5.9204,4.1352,4.5093,6.9863,1,0,0,0,1,0,0,0,0,0,1.4958,2.8633,1.4447,1.4959,-0.1317,0,49.309,0,4.1246,3.6629,3.958,-26.583,645.05,1.2636,1,-1.6218,0,1,19.679,4.0092,0.0551,1.4718,0,0,0,2.9957,0,8,9.1482,0,9.1722,4.5536,0,0,0,0,1.981,2.004,9.7702,-1
8.4106,1.5782,0,2.7352,4.5952,4.6044,4.5587,0,4.6128,0,-1.837,0,0,0,0,6.7021,1,0,0,0,1,0,0,0,0,0,46.082,44.239,45.047,45.568,-1.0306,0,0,2.0955,0,0,0,0,0,0,1,0,0,0,0,5.9827,0.66083,0.8822,0,0,0,0,0,6,7.3533,0,7.3169,3.2967,0,0,2,0,2.1403,6.6648,3.8765,-1
